Scheduler,Quantum,Patrons,SwitchTime,Seed,AvgTAT,MedTAT,StdTAT,AvgWait,MedWait,StdWait,AvgResp,MedResp,StdResp,CPUUtilization
FCFS,N/A,80,3,101,17710.70,19514,3277.37,16979.88,18745,3270.22,2319.54,2394,1429.44,94.26
SJF,N/A,80,3,101,11818.05,12184,5878.48,11087.15,11444,5797.28,2371.23,127,4320.69,94.36
RR,75,80,3,101,17307.10,17656,3568.76,16638.10,16907,3592.46,2571.94,2191,2054.94,72.62
FCFS,N/A,80,3,102,18995.53,20683,3250.15,18267.28,19973,3243.85,2397.43,2232,1454.05,94.47
SJF,N/A,80,3,102,11502.09,11581,6413.64,10773.73,10928,6338.66,3929.03,217,5891.36,94.46
RR,75,80,3,102,18678.64,19046,3712.06,18022.48,18293,3736.16,2644.20,2146,2237.65,70.32
FCFS,N/A,80,3,103,18497.34,20221,3367.48,17776.81,19518,3385.18,2268.79,2321,1307.49,94.78
SJF,N/A,80,3,103,11508.13,11515,6214.94,10787.44,10852,6176.50,2896.28,125,4798.19,94.81
RR,75,80,3,103,18080.86,18261,3314.39,17430.36,17569,3307.24,2657.34,2046,2615.33,70.88
FCFS,N/A,80,3,104,19415.50,21541,3863.09,18648.79,20725,3858.94,2523.66,2391,1650.04,94.63
SJF,N/A,80,3,104,12666.10,12804,6532.35,11899.71,12022,6504.46,2783.75,167,4100.21,94.66
RR,75,80,3,104,19234.69,19672,4319.24,18549.11,18887,4334.62,2742.18,2254,2487.57,68.52
FCFS,N/A,80,3,105,17062.09,19032,4160.59,16357.14,18285,4132.59,2204.96,1881,1543.39,94.14
SJF,N/A,80,3,105,10401.59,10087,6112.34,9697.01,9430,6043.78,2706.36,117,4526.44,94.42
RR,75,80,3,105,16838.11,17423,4268.74,16201.08,16763,4275.92,2239.56,1649,1994.21,70.65
FCFS,N/A,80,3,106,17219.36,18762,3233.87,16500.56,18081,3235.99,2081.90,1970,1139.58,93.99
SJF,N/A,80,3,106,10551.20,10473,5980.51,9832.83,9827,5901.32,3247.85,122,5471.09,94.08
RR,75,80,3,106,16989.68,17259,3585.79,16332.58,16533,3610.05,2191.43,1939,1613.83,72.40
FCFS,N/A,80,3,107,18184.16,20212,3880.52,17448.44,19480,3875.93,2374.29,2539,1479.58,94.37
SJF,N/A,80,3,107,11527.43,11872,6459.70,10791.76,11075,6397.71,3635.20,245,5553.90,94.38
RR,75,80,3,107,17760.51,17956,4110.74,17099.84,17291,4130.33,2390.85,2278,1990.51,69.12
FCFS,N/A,80,3,108,18273.24,19685,2540.88,17532.30,18936,2559.59,2350.85,2468,1324.11,94.00
SJF,N/A,80,3,108,10967.53,10781,6539.84,10226.34,10020,6494.61,3864.50,207,5676.03,94.57
RR,75,80,3,108,17772.34,17992,3088.57,17101.56,17260,3116.60,2562.69,2232,2192.06,69.41
FCFS,N/A,80,3,109,20946.90,22664,3093.34,20186.13,21881,3071.10,2590.63,2511,1531.59,94.75
SJF,N/A,80,3,109,13053.16,12470,6647.83,12292.41,11623,6597.40,4030.34,144,6183.00,94.83
RR,75,80,3,109,20217.13,21589,3762.80,19548.31,20844,3794.22,3097.23,2477,2660.98,66.13
FCFS,N/A,80,3,110,17933.44,19549,3097.39,17190.48,18830,3100.94,2575.96,2268,1690.43,94.12
SJF,N/A,80,3,110,10638.94,10306,6207.18,9896.36,9625,6144.93,5196.74,278,6662.55,94.22
RR,75,80,3,110,17578.03,18009,3563.63,16897.30,17216,3578.01,2771.84,2188,2691.41,72.43
